DATE,HIGH,LOW,TAVG,RIDES
4/3/2017,53,43,2100.7,543
4/4/2017,49,42,1823.786,1385
4/5/2017,59,36,996.39,1205
4/6/2017,52,33,1359.664,1305
4/7/2017,52,29,1375.828,1659
4/8/2017,58,32,2229.511,2858
4/9/2017,69,47,2532.544,1600
4/10/2017,70,42,546.7942,655
4/11/2017,43,29,1454.382,1078
4/12/2017,50,30,975.2508,893
4/13/2017,54,42,1454.857,1325
4/14/2017,52,43,2625.72,1306
4/15/2017,62,46,2615.858,1481
4/16/2017,70,45,3206.364,2137
4/17/2017,62,42,1963.975,1822
4/18/2017,56,42,1384.254,920
4/19/2017,62,42,882.7992,782
4/20/2017,50,38,815.337,1000
4/21/2017,48,35,1662.953,2193
4/22/2017,60,39,2172.909,3460
4/23/2017,67,44,2273.996,2640
4/24/2017,66,45,1667.569,1603
4/25/2017,70,51,1130.061,982
4/26/2017,59,34,2546.321,703
4/27/2017,38,30,762.5088,741
4/28/2017,35,30,1100.177,1381
4/29/2017,48,34,1787.242,1664
4/30/2017,53,37,1238.188,373
5/1/2017,45,34,590.894,434
5/2/2017,39,32,1537.591,1532
5/3/2017,60,39,2204.877,1803
5/4/2017,64,43,2299.941,2118
5/5/2017,67,44,1558.892,2611
5/6/2017,77,41,3488.74,3173
5/7/2017,66,44,2347.028,2611
5/8/2017,65,44,1418.656,1785
5/9/2017,69,46,1007.749,1900
5/10/2017,70,48,1731.874,1954
5/11/2017,66,46,1580.519,2559
5/12/2017,66,44,1542.166,2560
5/13/2017,75,48,4108.807,3556
5/14/2017,80,54,2536.093,2840
5/15/2017,83,61,1814.144,1724
5/16/2017,69,58,1755.913,1621
5/17/2017,81,62,1009.125,841
5/18/2017,69,46,906.7739,1192
5/19/2017,53,42,1753.65,1443
5/20/2017,53,42,1893.531,209
5/21/2017,50,40,1644.901,663
5/22/2017,50,43,1807.379,1945
5/23/2017,64,48,1082.782,1444
5/24/2017,60,45,2477.606,1754
5/25/2017,61,47,1727.057,2090
5/26/2017,70,52,1673.834,2628
5/27/2017,80,52,1972.439,3682
5/28/2017,72,56,2599.696,3328
5/29/2017,73,52,1188.109,1473
5/30/2017,64,51,5652.842,1437
5/31/2017,59,49,1678.222,2210
6/1/2017,73,45,2032.97,2301
6/2/2017,79,56,1601.97,2614
6/3/2017,88,64,2422.79,2924
6/4/2017,89,62,4354.778,2662
6/5/2017,87,57,1788.77,2401
6/6/2017,84,53,1802.165,2482
6/7/2017,80,58,1523.582,2469
6/8/2017,86,66,1412.087,2521
